date,unemployment benefits,severance,linkedin,jobs near me,indeed
2022-06-12,5.0,4.0,60.0,44.0,84.0
2022-06-19,5.0,4.0,62.0,43.0,84.0
2022-06-26,5.0,3.0,58.0,41.0,82.0
2022-07-03,5.0,3.0,55.0,37.0,78.0
2022-07-10,5.0,4.0,81.0,39.0,85.0
2022-07-17,5.0,5.0,74.0,39.0,83.0
2022-07-24,5.0,4.0,59.0,36.0,84.0
2022-07-31,5.0,4.0,60.0,38.0,82.0
2022-08-07,5.0,4.0,62.0,37.0,87.0
2022-08-14,5.0,4.0,58.0,36.0,85.0
2022-08-21,4.0,4.0,60.0,36.0,86.0
2022-08-28,4.0,3.0,58.0,37.0,80.0
2022-09-04,4.0,3.0,53.0,33.0,74.0
2022-09-11,4.0,4.0,60.0,35.0,82.0
2022-09-18,5.0,3.0,57.0,31.0,76.0
2022-09-25,5.0,3.0,56.0,31.0,75.0
2022-10-02,5.0,3.0,55.0,34.0,77.0
2022-10-09,5.0,2.0,55.0,31.0,72.0
2022-10-16,4.0,2.0,57.0,30.0,72.0
2022-10-23,4.0,3.0,56.0,28.0,71.0
2022-10-30,4.0,3.0,53.0,29.0,71.0
2022-11-06,4.0,3.0,54.0,30.0,69.0
2022-11-13,5.0,3.0,57.0,29.0,69.0
2022-11-20,5.0,2.0,32.0,25.0,50.0
2022-11-27,5.0,2.0,51.0,30.0,71.0
2022-12-04,5.0,3.0,51.0,28.0,70.0
2022-12-11,5.0,2.0,49.0,28.0,64.0
2022-12-18,5.0,2.0,39.0,26.0,54.0
2022-12-25,5.0,3.0,34.0,29.0,66.0
2023-01-01,4.918367346938776,3.6274509803921564,54.93481917577796,39.11599176389842,84.31629088599556
2023-01-08,6.14795918367347,3.6274509803921564,62.25946173254836,37.8936170212766,83.09431565576374
2023-01-15,4.918367346938776,3.6274509803921564,57.376366694701424,37.8936170212766,79.42838996506828
2023-01-22,4.918367346938776,3.6274509803921564,68.36333052985702,35.44886753603294,81.87234042553192
2023-01-29,4.918367346938776,3.6274509803921564,63.48023549201009,30.55936856554564,73.31851381390918
2023-02-05,4.918367346938776,3.6274509803921564,63.48023549201009,31.781743308167467,78.20641473483646
2023-02-12,4.918367346938776,3.6274509803921564,62.25946173254836,31.781743308167467,75.76246427437282
2023-02-19,4.918367346938776,3.6274509803921564,61.038687973086624,33.004118050789295,79.42838996506828
2023-02-26,4.918367346938776,3.6274509803921564,61.038687973086624,30.55936856554564,79.42838996506828
