date,unemployment benefits,severance,linkedin,jobs near me,indeed
2023-04-16,2.0338983050847457,2.1506849315068495,43.876501681883724,31.086195722618278,87.80851063829788
2023-04-23,2.0338983050847457,2.1506849315068495,43.876501681883724,32.15813350615684,89.95018162947588
2023-04-30,1.0169491525423728,2.1506849315068495,37.4555502162422,31.086195722618278,89.95018162947588
2023-05-07,1.0169491525423728,2.1506849315068495,41.73618452666988,37.517822423849644,95.30435910742086
2023-05-14,1.0169491525423728,2.1506849315068495,42.8063431042768,35.37394685677252,97.44603009859887
2023-05-21,1.0169491525423728,2.1506849315068495,42.8063431042768,37.517822423849644,99.58770108977686
2023-05-28,2.0338983050847457,2.1506849315068495,37.4555502162422,35.37394685677252,95.30435910742086
2023-06-04,1.0169491525423728,2.1506849315068495,44.94666025949064,38.58976020738821,101.72937208095486
2023-06-11,2.0338983050847457,2.1506849315068495,44.94666025949064,37.517822423849644,101.72937208095486
2023-06-18,1.0169491525423728,2.1506849315068495,44.94666025949064,37.517822423849644,104.94187856772186
2023-06-25,2.0338983050847457,2.1506849315068495,43.876501681883724,36.445884640311085,100.65853658536585
2023-07-02,1.0169491525423728,2.1506849315068495,39.59586737145604,36.445884640311085,96.37519460300986
2023-07-09,2.0338983050847457,2.1506849315068495,44.94666025949064,36.445884640311085,100.65853658536585
2023-07-16,2.0338983050847457,2.1506849315068495,40.66602594906296,37.517822423849644,92.09185262065387
2023-07-23,2.0338983050847457,2.1506849315068495,42.8063431042768,39.66169799092677,98.51686559418786
2023-07-30,2.0338983050847457,2.1506849315068495,46.01681883709756,35.37394685677252,96.37519460300986
2023-08-06,2.0338983050847457,2.1506849315068495,49.22729456991832,40.73363577446533,99.58770108977686
2023-08-13,2.0338983050847457,2.1506849315068495,46.01681883709756,39.66169799092677,100.65853658536585
2023-08-20,2.0338983050847457,2.1506849315068495,44.94666025949064,39.66169799092677,99.58770108977686
2023-08-27,1.0169491525423728,2.1506849315068495,43.876501681883724,33.2300712896954,84.59600415153088
2023-09-03,1.0169491525423728,2.1506849315068495,42.8063431042768,38.58976020738821,94.23352361183187
2023-09-10,2.0338983050847457,2.1506849315068495,48.1571359923114,37.517822423849644,92.09185262065387
2023-09-17,2.0338983050847457,2.1506849315068495,43.876501681883724,35.37394685677252,100.65853658536585
2023-09-24,2.0338983050847457,2.1506849315068495,44.94666025949064,36.445884640311085,92.09185262065387
2023-10-01,2.0338983050847457,2.1506849315068495,42.8063431042768,38.58976020738821,93.16268811624286
2023-10-08,1.0169491525423728,2.1506849315068495,42.8063431042768,34.30200907323396,85.66683964711987
2023-10-15,1.0169491525423728,2.1506849315068495,44.94666025949064,35.37394685677252,88.87934613388687
2023-10-22,2.0338983050847457,2.1506849315068495,40.66602594906296,34.30200907323396,87.80851063829788
2023-10-29,2.0338983050847457,2.1506849315068495,39.59586737145604,36.445884640311085,81.38349766476388
2023-11-05,1.0169491525423728,2.1506849315068495,43.876501681883724,33.2300712896954,85.66683964711987
2023-11-12,2.0338983050847457,2.1506849315068495,41.73618452666988,34.30200907323396,81.38349766476388
2023-11-19,1.0169491525423728,2.1506849315068495,29.96444017299376,26.798444588464033,61.03762324857291
2023-11-26,2.0338983050847457,2.1506849315068495,36.385391638635284,34.30200907323396,81.38349766476388
2023-12-03,1.0169491525423728,2.1506849315068495,40.66602594906296,31.086195722618278,80.31266216917489
2023-12-10,2.0338983050847457,2.1506849315068495,39.59586737145604,32.15813350615684,82.45433316035289
2023-12-17,1.0169491525423728,2.1506849315068495,36.385391638635284,27.870382372002595,64.25012973533991
2023-12-24,1.0169491525423728,2.1506849315068495,31.03459875060068,27.870382372002595,56.75428126621692
2023-12-31,1.0169491525423728,2.1506849315068495,43.876501681883724,36.445884640311085,86.73767514270888
2024-01-07,1.0169491525423728,2.1506849315068495,47.08697741470448,36.445884640311085,86.73767514270888
2024-01-14,1.0169491525423728,2.1506849315068495,40.66602594906296,34.30200907323396,87.80851063829788
2024-01-21,1.0169491525423728,2.1506849315068495,47.08697741470448,38.58976020738821,83.52516865594188
2024-01-28,1.0169491525423728,2.1506849315068495,46.01681883709756,32.15813350615684,73.88764919564089
2024-02-04,1.0169491525423728,2.1506849315068495,48.1571359923114,31.086195722618278,76.0293201868189
2024-02-11,1.0169491525423728,2.1506849315068495,43.876501681883724,28.942320155541154,65.3209652309289
2024-02-18,1.0169491525423728,1.0753424657534247,47.08697741470448,31.086195722618278,70.6751427088739
2024-02-25,1.0169491525423728,2.1506849315068495,49.22729456991832,31.086195722618278,70.6751427088739
2024-03-03,1.0169491525423728,2.1506849315068495,48.1571359923114,30.014257939079716,65.3209652309289
2024-03-10,1.0169491525423728,2.1506849315068495,42.8063431042768,28.942320155541154,63.17929423975091
2024-03-17,1.0169491525423728,2.1506849315068495,43.876501681883724,30.014257939079716,67.46263622210691
2024-03-24,1.0169491525423728,2.1506849315068495,42.8063431042768,27.870382372002595,61.03762324857291
2024-03-31,1.0169491525423728,2.1506849315068495,46.01681883709756,28.942320155541154,71.7459782044629
2024-04-07,2.0338983050847457,2.1506849315068495,42.8063431042768,31.086195722618278,72.8168137000519
2024-04-14,1.0169491525423728,2.1506849315068495,44.94666025949064,32.15813350615684,71.7459782044629
2024-04-21,1.0169491525423728,2.1506849315068495,44.94666025949064,34.30200907323396,69.6043072132849
2024-04-28,1.0169491525423728,2.1506849315068495,42.8063431042768,34.30200907323396,74.9584846912299
2024-05-05,1.0169491525423728,2.1506849315068495,44.94666025949064,38.58976020738821,72.8168137000519
2024-05-12,1.0169491525423728,2.1506849315068495,49.22729456991832,38.58976020738821,76.0293201868189
2024-05-19,2.0338983050847457,2.1506849315068495,44.94666025949064,37.517822423849644,76.0293201868189
2024-05-26,1.0169491525423728,2.1506849315068495,41.73618452666988,41.80557355800389,72.8168137000519
2024-06-02,1.0169491525423728,2.1506849315068495,41.73618452666988,40.73363577446533,80.31266216917489
2024-06-09,1.0169491525423728,3.226027397260274,41.73618452666988,39.66169799092677,76.0293201868189
