,CA,TX,FL
1993-10-30,62423.0,16693.0,9931.0
1993-11-06,70079.0,16235.0,11222.0
1993-11-13,63721.0,16363.0,9164.0
1993-11-20,70095.0,15770.0,10882.0
1993-11-27,48871.0,13698.0,7412.0
1993-12-04,70759.0,15863.0,10684.0
1993-12-11,63455.0,17935.0,10835.0
1993-12-18,64964.0,16205.0,9107.0
1993-12-25,59730.0,19233.0,7902.0
1994-01-01,54641.0,15307.0,8078.0
1994-01-08,67818.0,18491.0,13299.0
1994-01-15,66348.0,20720.0,12233.0
1994-01-22,57682.0,16996.0,8978.0
1994-01-29,74697.0,17042.0,11182.0
1994-02-05,77443.0,16747.0,10100.0
1994-02-12,82079.0,15376.0,9886.0
1994-02-19,71619.0,15017.0,9485.0
1994-02-26,58896.0,13043.0,8495.0
1994-03-05,68389.0,13244.0,8986.0
1994-03-12,64785.0,14004.0,9132.0
1994-03-19,61663.0,13761.0,8899.0
1994-03-26,61973.0,13522.0,8484.0
1994-04-02,59824.0,12902.0,8287.0
1994-04-09,60545.0,13304.0,10306.0
1994-04-16,58286.0,14174.0,9836.0
1994-04-23,57752.0,13466.0,9489.0
1994-04-30,63992.0,12982.0,9516.0
1994-05-07,74036.0,13764.0,11359.0
1994-05-14,66816.0,14716.0,10484.0
1994-05-21,64792.0,14182.0,10843.0
1994-05-28,61321.0,14504.0,11106.0
1994-06-04,56397.0,13282.0,9734.0
1994-06-11,66228.0,13616.0,12712.0
1994-06-18,68079.0,13571.0,11334.0
1994-06-25,72608.0,13382.0,11753.0
1994-07-02,70038.0,12889.0,11292.0
1994-07-09,58966.0,12863.0,13383.0
1994-07-16,65235.0,15006.0,14800.0
1994-07-23,61910.0,13895.0,12273.0
1994-07-30,60151.0,13364.0,10742.0
1994-08-06,67103.0,13045.0,10541.0
1994-08-13,63544.0,12598.0,10049.0
1994-08-20,59219.0,13710.0,9290.0
1994-08-27,55476.0,12604.0,9207.0
1994-09-03,59088.0,12699.0,9466.0
1994-09-10,52350.0,12136.0,8156.0
1994-09-17,61400.0,12001.0,9400.0
1994-09-24,60286.0,12026.0,8728.0
1994-10-01,62434.0,13532.0,8025.0
1994-10-08,72199.0,14377.0,11252.0
1994-10-15,58841.0,14569.0,9480.0
1994-10-22,67433.0,12929.0,9149.0
1994-10-29,61754.0,14954.0,8456.0
1994-11-05,75325.0,15513.0,9332.0
1994-11-12,71288.0,16421.0,7975.0
1994-11-19,87075.0,14475.0,8789.0
1994-11-26,51894.0,12192.0,6202.0
1994-12-03,75918.0,15860.0,8637.0
1994-12-10,66312.0,16691.0,9793.0
1994-12-17,68048.0,14585.0,7934.0
1994-12-24,68804.0,17970.0,8058.0
1994-12-31,60440.0,14223.0,6843.0
1995-01-07,76580.0,14519.0,10038.0
1995-01-14,93188.0,20387.0,11648.0
1995-01-21,70141.0,17587.0,8578.0
1995-01-28,80140.0,15942.0,9088.0
1995-02-04,83169.0,14686.0,9005.0
1995-02-11,86216.0,14954.0,9180.0
1995-02-18,67970.0,13527.0,8624.0
1995-02-25,62502.0,12300.0,7989.0
1995-03-04,68712.0,12313.0,8394.0
1995-03-11,73487.0,13981.0,8145.0
1995-03-18,72001.0,14904.0,7799.0
1995-03-25,72807.0,12761.0,7878.0
1995-04-01,63451.0,11938.0,7101.0
1995-04-08,66600.0,13606.0,10209.0
1995-04-15,67722.0,13781.0,9070.0
1995-04-22,62831.0,12180.0,8589.0
1995-04-29,61707.0,13337.0,8338.0
1995-05-06,70335.0,12928.0,10010.0
1995-05-13,67923.0,13423.0,9843.0
1995-05-20,63393.0,13254.0,10506.0
1995-05-27,57309.0,13659.0,10043.0
1995-06-03,52333.0,12839.0,9691.0
1995-06-10,63310.0,15377.0,10971.0
